1 2 1 0 2 0 0 0 0 | 10 10 10 3.4 
1 0 4 1 2 0 0 0 0 | 10 3.4 10 10 
0 1 3 0 2 4 0 0 0 | 10 10 6.61259 10 
2 1 0 4 0 0 0 0 2 | 10 10 3.4 10 
4 0 1 1 2 0 0 0 0 | 9.74771 10 -56 10 
0 4 0 1 0 0 0 0 3 | 11.5395 10 10 10 
0 4 0 1 0 0 0 0 4 | 10 10 10 3.4 
4 0 0 1 0 0 4 0 0 | 6.59987 10 10 10 
0 0 1 4 0 0 2 0 0 | 10 10 10 15.2966 
4 0 2 1 0 0 1 0 0 | 3.4 10 10 10 
0 1 3 0 4 0 1 0 0 | 10 10 10 7.735 
0 0 1 3 2 0 0 0 0 | 10 10 10 10.887 
0 4 1 1 0 2 0 0 0 | 10 10 -48.2658 10 
4 0 1 2 3 0 0 0 0 | 10 10 10 28.1905 
3 2 0 0 1 0 0 4 0 | 10 6.71193 10 10 
0 3 0 1 2 0 0 0 1 | 10 10 10 -14 
0 0 0 1 0 4 0 0 0 | 8.5 10 10 10 
3 0 3 4 1 0 2 0 0 | 10 3.4 10 10 
2 0 0 1 2 4 0 0 0 | 10 29.753 10 10 
0 1 1 3 0 0 0 0 4 | -43.5646 10 10 8.5 
4 3 2 1 0 0 0 0 0 | 10 10 -48.0019 10 
0 1 2 4 0 3 0 0 0 | 10 3.4 10 10 
4 0 4 3 1 0 0 0 0 | 41.7326 10 10 10 
1 3 0 0 1 0 0 4 0 | 10 10 10 -35.419 
2 1 4 0 1 0 0 1 0 | 10 10 -8.9 10 
1 1 3 2 0 0 0 0 0 | -50.9 10 10 10 
0 0 0 1 0 0 0 0 4 | 10 10 10 8.5 
3 4 0 1 3 0 0 0 0 | 10 3.4 10 10 
3 4 3 0 1 1 0 0 0 | 10 10 33.3896 10 
2 4 2 0 1 0 0 0 0 | 10 10 7 10 
2 0 1 0 2 0 0 0 0 | 10 10 10 4.75817 
0 0 4 1 3 4 0 0 0 | 10 10 10 8.5 
1 3 1 0 0 0 0 0 3 | 10 10 8.5 10 
0 1 0 1 3 0 2 0 0 | -56 9.67316 10 10 
1 0 1 1 0 0 0 0 4 | 10 10 10 8.5 
1 2 1 0 1 0 0 0 0 | 10 10 10 -53.0346 
0 0 2 1 1 0 1 0 0 | 10 -2.88784 10 10 
0 1 1 0 3 0 0 0 2 | 10 10 3.4 10 
0 0 1 1 0 0 0 2 0 | 10 -49.492 10 10 
3 1 2 0 4 0 0 4 0 | 10 10 34 10 
2 1 2 4 0 0 0 1 0 | 10 10 10 7 
3 3 0 1 0 0 0 0 0 | 4.6054 10 10 8.5 
3 2 0 3 1 1 0 0 0 | 10 10 10 -47.4433 
4 1 2 0 2 0 0 0 0 | 10 10 10 34.7725 
0 4 1 0 1 0 0 3 0 | 10 10 10 -50.9 
0 1 0 1 3 0 1 0 0 | 10 10 10 14.901 
0 2 0 0 1 0 0 0 3 | 23.8042 10 10 10 
1 0 1 0 3 3 0 0 0 | 10 10 8.81707 10 
4 0 2 2 1 0 0 0 0 | 10 4.11496 10 10 
2 1 0 0 1 0 0 2 0 | 10 10 10 -50.9 
0 1 1 0 1 0 0 3 0 | 10 10 3.4 10 
3 0 4 1 3 0 0 0 0 | 6.25017 7.03885 10 10 
3 0 4 1 4 0 0 0 0 | 10 10 10 3.4 
2 1 3 0 2 0 0 0 0 | -43.6316 10 9.45972 10 
