1 4 1 4 4 0 0 0 2 | 10 10 10 8.5 
2 2 1 3 1 0 0 0 3 | 10 10 -20.9518 10 
2 0 2 1 4 0 3 0 0 | 10 10 -56.962 10 
2 3 1 3 4 0 0 2 0 | 10 10 -10.46 10 
2 1 1 1 3 0 0 0 1 | 10 -43.0514 10 10 
1 2 4 4 1 3 0 0 0 | 10 10 0.650178 10 
1 1 3 2 2 2 0 0 0 | 10 3.4 10 10 
2 3 2 1 3 0 3 0 0 | 10 10 -55.8264 10 
4 4 4 3 1 0 0 0 2 | 10 1.99557 10 10 
2 4 3 1 0 0 0 0 2 | 1.70701 10 10 10 
1 4 2 3 1 3 0 0 0 | 10 8.5 10 10 
2 2 2 4 1 0 0 0 4 | 8.8954 6.95599 10 10 
4 1 4 2 2 0 0 0 3 | -55.7154 10 10 10 
1 3 4 1 2 0 0 2 0 | 10 10 -55.1915 10 
4 0 1 2 3 0 2 0 0 | 10 10 3.33915 10 
1 4 3 0 1 0 0 0 4 | 10 10 0.833861 10 
1 3 2 1 0 0 0 0 1 | 10 10.0423 10 10 
4 1 4 2 1 3 0 0 0 | 10 1.66509 10 10 
0 0 4 3 1 0 0 4 0 | 10 10 7.87355 10 
2 4 1 1 4 0 0 3 0 | 3.26907 10 10 10 
2 4 1 1 4 0 0 4 0 | 5.32068 -54.8452 10 10 
4 2 1 1 3 0 0 0 4 | 10 10 10 12.1 
3 4 2 1 4 0 1 0 0 | 7.4713 10 10 10 
1 2 3 1 1 4 0 0 0 | 10 10 10 -59.1751 
3 3 4 2 1 0 0 4 0 | 10 1.55596 10 10 
1 2 3 1 1 0 0 0 3 | 10 3.67802 10 10 
4 3 0 3 1 0 0 0 2 | -6.28247 10 10 10 
3 3 1 4 0 4 0 0 0 | 10 10 10 5.93552 
3 4 1 2 0 0 3 0 0 | 13.7475 10 -1.0358 10 
1 1 1 1 2 0 2 0 0 | 10 10 10 -52.4122 
4 1 1 3 3 0 4 0 0 | 10 10 -14.0705 10 
3 3 1 3 3 0 2 0 0 | 5.25534 10 10 10 
3 3 1 3 1 0 0 0 4 | 10 10 10 -45.0009 
3 1 3 2 3 0 1 0 0 | 10 10 7.03398 10 
3 0 1 3 0 0 0 4 0 | 10 10 15.8544 10 
2 3 3 1 4 0 1 0 0 | 10 -15.2335 10 10 
3 4 2 1 2 1 0 0 0 | -16.2223 10 10 10 
0 3 1 2 2 4 0 0 0 | 10 10 0.0231461 10 
